NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201012123,2020,3.69,3.69,161.0,153.0,153.0,3.61,3.5,3.66,3.53,3.83,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012125,2020,3.86,3.86,159.0,153.0,153.0,3.89,3.72,3.89,3.95,3.9,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012133,2020,3.68,3.68,161.0,153.0,153.0,3.54,3.69,3.61,3.52,3.79,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012134,2020,3.77,3.77,161.0,153.0,153.0,3.61,3.77,3.75,3.89,3.74,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012136,2020,3.73,3.73,161.0,153.0,153.0,3.46,3.76,3.76,3.67,3.74,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012140,2020,3.84,3.84,159.0,153.0,153.0,3.74,3.88,3.92,3.88,3.76,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012143,2020,3.75,3.75,161.0,153.0,153.0,3.63,3.73,3.7,3.71,3.75,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012155,2020,3.71,3.71,171.0,153.0,153.0,3.39,2.31,3.72,3.81,3.81,24.0,45.0,68.0,92.0,116.0,4,0,Tidak Tepat Waktu
201012157,2020,3.8,3.8,159.0,153.0,153.0,3.76,3.73,3.87,3.82,3.88,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012161,2020,3.78,3.78,165.0,153.0,153.0,3.76,3.65,3.83,3.82,3.83,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
